id,id_wniosku,agent_id,status,data_rozpoczecia,data_wyslania_sad,data_odp_sad,status_sad,koszt
10012,1968,31,zaakceptowany,2014-05-27 12:10:14.000000,2014-05-27 12:10:14.000000,2015-05-14 14:06:33.000000,zaakceptowany,500
10099,4661,17,zaakceptowany,2014-08-05 11:45:03.000000,2014-08-05 11:45:03.000000,2015-08-26 07:37:10.000000,zaakceptowany,158.79
4910,12569,36,odrzucony,2015-03-06 11:09:16.000000,2015-03-06 11:09:16.000000,2015-09-28 14:50:17.000000,zaakceptowany,94.19
2899,19754,82,czekamy,2015-09-23 10:44:39.085161,2015-09-23 10:44:39.085161,2015-06-05 13:25:42.000000,zaakceptowany,0
7516,20645,93,zaakceptowany,2015-09-07 10:52:22.000000,2015-09-07 10:52:22.000000,2015-06-12 09:43:18.000000,zaakceptowany,500
2788,22991,92,czekamy,2015-09-23 07:40:45.093001,2015-09-23 07:40:45.093001,2015-03-05 12:42:07.000000,zaakceptowany,500
7153,32507,23,czekamy,2015-08-14 13:18:44.000000,2015-08-14 13:18:44.000000,2015-09-28 14:53:06.000000,zaakceptowany,94.19
7183,33251,17,czekamy,2015-07-06 14:16:53.000000,2015-07-06 14:16:53.000000,2015-05-04 12:05:44.000000,zaakceptowany,500
7210,33879,92,zaakceptowany,2015-08-14 07:46:45.000000,2015-08-14 07:46:45.000000,2015-03-05 14:18:46.000000,zaakceptowany,500
292,38601,51,czekamy,2015-07-22 11:19:17.953847,2015-07-22 11:19:17.953847,2015-03-05 14:26:41.000000,zaakceptowany,500
736,38840,26,odrzucony,2015-08-11 08:37:48.667184,2015-08-11 08:37:48.667184,2015-07-29 12:10:31.000000,zaakceptowany,500
553,39587,91,zaakceptowany,2015-08-06 06:37:12.684807,2015-08-06 06:37:12.684807,2015-05-19 14:42:26.000000,zaakceptowany,500
1829,42618,85,czekamy,2015-09-01 11:40:42.315742,2015-09-01 11:40:42.315742,2015-09-11 14:13:40.000000,zaakceptowany,500
1889,42952,91,zaakceptowany,2015-09-02 13:07:52.816572,2015-09-02 13:07:52.816572,2014-07-25 19:59:18.000000,zaakceptowany,0
6314,46102,76,zaakceptowany,2015-10-22 11:52:27.606105,2015-10-22 11:52:27.606105,2015-04-08 13:27:38.000000,zaakceptowany,500
8819,53463,32,zaakceptowany,2015-11-04 12:14:50.767586,2015-11-04 12:14:50.767586,2015-06-02 14:36:02.000000,zaakceptowany,0
12442,2054879,260,zaakceptowany,2017-02-21 09:18:29.449684,2017-02-21 09:18:29.449684,2015-08-27 14:50:23.000000,zaakceptowany,500
12575,2055584,168,zaakceptowany,2017-02-22 06:05:56.474040,2017-02-22 06:05:56.474040,2015-08-27 14:45:52.000000,zaakceptowany,500
12671,2055840,168,zaakceptowany,2017-02-22 13:31:50.013846,2017-02-22 13:31:50.013846,2015-08-27 14:41:43.000000,zaakceptowany,500
12765,2056115,168,zaakceptowany,2017-02-23 14:26:50.398636,2017-02-23 14:26:50.398636,2015-08-27 14:42:24.000000,zaakceptowany,500
12927,2056494,168,zaakceptowany,2017-02-24 14:27:31.772360,2017-02-24 14:27:31.772360,2015-08-14 09:10:08.000000,zaakceptowany,156.97
13007,2056733,168,zaakceptowany,2017-02-27 14:26:07.164879,2017-02-27 14:26:07.164879,2015-08-27 14:44:25.000000,zaakceptowany,500
13402,2058033,168,zaakceptowany,2017-03-06 14:27:22.872564,2017-03-06 14:27:22.872564,2015-08-27 14:55:40.000000,zaakceptowany,500
13526,2058632,168,zaakceptowany,2017-03-08 13:35:07.584882,2017-03-08 13:35:07.584882,2015-04-24 12:45:15.000000,zaakceptowany,267
13671,2059104,168,zaakceptowany,2017-03-10 08:46:17.435616,2017-03-10 08:46:17.435616,2015-08-27 15:06:07.000000,zaakceptowany,500
13986,2059896,168,zaakceptowany,2017-03-14 10:39:08.445379,2017-03-14 10:39:08.445379,2015-09-07 14:31:41.000000,zaakceptowany,105
14116,2060319,168,zaakceptowany,2017-03-15 11:21:06.875214,2017-03-15 11:21:06.875214,2015-03-25 12:16:48.000000,zaakceptowany,500
14443,2061218,168,zaakceptowany,2017-03-17 13:01:30.234673,2017-03-17 13:01:30.234673,2015-11-25 08:39:13.287351,zaakceptowany,500
14482,2061381,168,zaakceptowany,2017-03-20 08:32:36.376687,2017-03-20 08:32:36.376687,2015-05-20 14:24:33.000000,zaakceptowany,900
14796,2062405,168,zaakceptowany,2017-03-24 14:06:31.113097,2017-03-24 14:06:31.113097,2015-11-12 15:33:15.055226,zaakceptowany,500
29349,2063372,253,czekamy,2017-08-10 16:10:06.741144,2017-08-10 16:10:06.741144,2015-09-24 14:11:45.000000,zaakceptowany,900
15695,2064755,168,zaakceptowany,2017-04-05 11:16:02.343320,2017-04-05 11:16:02.343320,2015-11-12 15:27:28.369895,zaakceptowany,500
15806,2065186,168,zaakceptowany,2017-04-06 12:57:21.244795,2017-04-06 12:57:21.244795,2015-08-27 14:42:57.000000,zaakceptowany,500
15824,2065216,168,zaakceptowany,2017-04-06 13:36:05.100337,2017-04-06 13:36:05.100337,2015-08-27 14:44:58.000000,zaakceptowany,500
16302,2066482,168,zaakceptowany,2017-04-13 09:25:16.049133,2017-04-13 09:25:16.049133,2015-11-12 15:29:41.602847,zaakceptowany,500
16708,2067520,168,zaakceptowany,2017-04-20 10:13:41.341495,2017-04-20 10:13:41.341495,2015-11-10 11:39:11.930411,zaakceptowany,500
17188,2069052,168,zaakceptowany,2017-04-26 15:15:32.376341,2017-04-26 15:15:32.376341,2015-09-14 14:24:17.000000,zaakceptowany,105
17999,2071807,168,zaakceptowany,2017-05-09 09:56:53.179353,2017-05-09 09:56:53.179353,2015-07-21 08:24:40.000000,zaakceptowany,0
18851,2073976,168,zaakceptowany,2017-05-19 12:51:32.154739,2017-05-19 12:51:32.154739,2015-08-27 14:47:09.000000,zaakceptowany,500
20871,2078605,168,zaakceptowany,2017-06-06 08:47:14.396332,2017-06-06 08:47:14.396332,2015-08-27 15:06:58.000000,zaakceptowany,500
21668,2080519,168,zaakceptowany,2017-06-08 15:02:57.211177,2017-06-08 15:02:57.211177,2015-09-14 15:04:11.000000,zaakceptowany,87.5
22484,2082781,168,zaakceptowany,2017-06-16 10:06:30.231746,2017-06-16 10:06:30.231746,2015-09-28 09:24:21.000000,zaakceptowany,30
22827,2083577,168,zaakceptowany,2017-06-20 10:22:12.445708,2017-06-20 10:22:12.445708,2015-08-27 15:02:37.000000,zaakceptowany,500
25570,2090857,289,zaakceptowany,2017-07-13 09:53:30.252619,2017-07-13 09:53:30.252619,2015-08-27 14:47:40.000000,zaakceptowany,500
27513,2096131,168,zaakceptowany,2017-07-28 08:32:24.787061,2017-07-28 08:32:24.787061,2015-11-16 10:08:39.209633,zaakceptowany,0
27927,2097422,289,zaakceptowany,2017-08-01 07:23:02.749780,2017-08-01 07:23:02.749780,2015-11-24 08:52:32.423474,zaakceptowany,0
28179,2098027,168,zaakceptowany,2017-08-02 09:04:35.207152,2017-08-02 09:04:35.207152,2015-11-18 16:30:07.125080,zaakceptowany,0
28635,2099322,168,zaakceptowany,2017-08-04 09:40:39.481919,2017-08-04 09:40:39.481919,2015-08-14 09:27:05.000000,zaakceptowany,156.97
29649,2102101,168,zaakceptowany,2017-08-16 07:42:57.193109,2017-08-16 07:42:57.193109,2015-09-28 09:21:05.000000,zaakceptowany,30
32422,2108736,168,zaakceptowany,2017-09-07 11:32:23.196817,2017-09-07 11:32:23.196817,2015-09-24 14:10:47.000000,zaakceptowany,900
33477,2111002,168,zaakceptowany,2017-09-15 08:24:59.012916,2017-09-15 08:24:59.012916,2015-08-27 14:53:07.000000,zaakceptowany,500
34529,2113995,168,zaakceptowany,2017-09-25 11:19:35.802588,2017-09-25 11:19:35.802588,2015-08-27 15:03:41.000000,zaakceptowany,500
35686,2117619,168,zaakceptowany,2017-10-05 21:13:03.339953,2017-10-05 21:13:03.339953,2015-08-27 14:48:07.000000,zaakceptowany,500
46382,2120155,285,odrzucony,2017-12-21 12:45:37.188960,2017-12-21 12:45:37.188960,2016-10-25 09:57:57.078256,zaakceptowany,88
36672,2120521,168,zaakceptowany,2017-10-13 12:02:04.754133,2017-10-13 12:02:04.754133,2015-09-25 11:15:29.000000,zaakceptowany,900
36863,2120969,168,zaakceptowany,2017-10-17 08:56:29.799333,2017-10-17 08:56:29.799333,2015-06-22 14:34:13.000000,zaakceptowany,900
37218,2121767,168,zaakceptowany,2017-10-19 10:17:38.968432,2017-10-19 10:17:38.968432,2015-05-27 12:27:43.000000,zaakceptowany,500
38584,2125253,168,zaakceptowany,2017-11-02 10:00:22.226640,2017-11-02 10:00:22.226640,2015-11-18 08:21:41.624384,zaakceptowany,900
38683,2125631,168,zaakceptowany,2017-11-02 12:33:52.947747,2017-11-02 12:33:52.947747,2015-11-12 15:47:40.056711,zaakceptowany,500
38706,2125723,168,zaakceptowany,2017-11-02 12:52:46.616897,2017-11-02 12:52:46.616897,2015-11-12 15:36:47.734454,zaakceptowany,500
39823,2129830,168,zaakceptowany,2017-11-16 09:04:09.900102,2017-11-16 09:04:09.900102,2015-11-12 15:35:31.333235,zaakceptowany,500
39838,2129878,168,zaakceptowany,2017-11-16 09:27:41.281614,2017-11-16 09:27:41.281614,2017-09-08 12:55:14.048437,zaakceptowany,1
41916,2134348,289,zaakceptowany,2017-11-27 08:41:25.107353,2017-11-27 08:41:25.107353,2015-11-12 15:51:00.896418,zaakceptowany,500
42431,2135436,168,zaakceptowany,2017-11-29 12:18:44.338950,2017-11-29 12:18:44.338950,2015-11-12 15:45:14.748410,zaakceptowany,500
42542,2135624,168,zaakceptowany,2017-11-29 13:01:15.124115,2017-11-29 13:01:15.124115,2015-11-13 08:39:34.754131,zaakceptowany,0
42768,2136168,168,zaakceptowany,2017-11-30 10:53:24.347892,2017-11-30 10:53:24.347892,2017-11-22 13:46:38.039162,zaakceptowany,50
43032,2136546,168,zaakceptowany,2017-11-30 15:54:14.318080,2017-11-30 15:54:14.318080,2015-11-12 15:43:59.162255,zaakceptowany,500
43518,2137453,168,zaakceptowany,2017-12-04 10:39:40.305938,2017-12-04 10:39:40.305938,2015-11-12 15:42:01.860457,zaakceptowany,500
44933,2140615,168,zaakceptowany,2017-12-11 17:40:27.159405,2017-12-11 17:40:27.159405,2015-11-12 15:23:34.065944,zaakceptowany,500
45096,2140939,336,odrzucony,2017-12-12 14:11:47.153976,2017-12-12 14:11:47.153976,2016-04-12 07:57:11.542771,zaakceptowany,350
47941,2147533,336,,2018-01-11 15:52:21.766284,2018-01-11 15:52:21.766284,2017-11-09 15:00:31.736935,przegrany,0
48684,2150101,168,zaakceptowany,2018-01-17 13:21:52.589522,2018-01-17 13:21:52.589522,2016-02-22 12:25:44.665835,zaakceptowany,20
48752,2150222,168,zaakceptowany,2018-01-17 14:19:54.480485,2018-01-17 14:19:54.480485,2016-02-19 13:34:41.285245,zaakceptowany,0
49042,2150997,168,zaakceptowany,2018-01-19 08:37:50.197747,2018-01-19 08:37:50.197747,2016-10-14 08:29:56.262860,przegrany,0
50277,2154345,168,zaakceptowany,2018-01-29 08:55:17.097880,2018-01-29 08:55:17.097880,2016-10-14 08:24:01.665523,przegrany,0
50872,2155929,168,zaakceptowany,2018-02-01 11:46:25.819373,2018-02-01 11:46:25.819373,2017-10-20 10:16:11.710800,przegrany,10
51760,2158503,168,zaakceptowany,2018-02-09 08:55:30.709626,2018-02-09 08:55:30.709626,2016-01-12 14:40:28.645526,zaakceptowany,100
